FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
81,COTPIPCO,39.125531000000002,-107.967297000000000,81,81,1341106,0.010319336448500,-107.967297000000000,39.125531000000002,-107.957543610000000,39.128901472999999,19.063582696600001,1341106,0.034324634611300,3180914, ,-9999
82,OWECRECO,39.241644999999998,-107.586732000000000,82,82,1341931,0.003083689545380,-107.586732000000000,39.241644999999998,-107.583652009999990,39.241796006000001,2.806854580170000,1341931,0.088292932955900,3181202, ,-9999
83,PLABCOCO,39.239700999999997,-107.971459000000000,83,83,1340948,0.000200894120899,-107.971459000000000,39.239700999999997,-107.971480998000000,39.239501313900000,-96.286427330699993,1340948,0.010007732371600,3180768, ,-9999
84,WHICROCO,40.162500000000001,-108.345000000000000,84,84,1611452,0.000110580907427,-108.345000000000000,40.162500000000001,-108.345110221000000,40.162491084300001,-175.375469498999990,1611452,0.024469045384600,1341106, ,-9999
85,ILLRANCO,40.462482000000001,-106.176970999999990,85,85,1602004,0.000149584249630,-106.176970999999990,40.462482000000001,-106.177064822999990,40.462365498399997,-128.845858026999990,1602004,0.057649085616800,16000046, ,-9999
86,MICWLDCO,40.741362000000002,-106.272801000000000,86,86,1603406,0.000660943769766,-106.272801000000000,40.741362000000002,-106.273001294000000,40.740732135899997,-107.640462101000000,1603406,0.002060944346990,15996046, ,-9999
87,MICMERCO,40.616639999999997,-106.083918000000000,87,87,1601148,0.001471568251220,-106.083918000000000,40.616639999999997,-106.084692098999990,40.617891512500002,121.738075851999990,1601148,0.011318751618800,15997310, ,-9999
88,MICTMPCO,40.740687999999999,-106.281218999999990,88,88,1603056,0.000346149121105,-106.281218999999990,40.740687999999999,-106.281272712000000,40.741029956500000,98.926627686399996,1603056,0.009060219037350,15996048, ,-9999
89,MORBSCCO,40.245519999999999,-106.786689999999990,89,89,1605453,0.000106491135407,-106.786689999999990,40.245519999999999,-106.786623942000010,40.245603526300002,51.660564662100001,1605453,0.078737456849500,1358260, ,-9999
90,BERBBLCO,40.044117000000000,-107.071729000000000,90,90,1606257,0.000087817666643,-107.071729000000000,40.044117000000000,-107.071733773999990,40.044204687799997,93.116339841799999,1606257,0.008170935774630,1356770, ,-9999
91,STELAKCO,40.791080000000001,-106.945100000000000,91,91,1606338,0.000034653200589,-106.945100000000000,40.791080000000001,-106.945073966000000,40.791102871200003,41.299965813699998,1606338,0.002948959316700,1353736, ,-9999
92,WLTNCKCO,40.408034999999998,-106.786995000000000,92,92,1605914,0.000336519743822,-106.786995000000000,40.408034999999998,-106.786749951999990,40.407804355499998,-43.265632581699997,1605914,0.013300201314900,1357372, ,-9999
93,WILBSLCO,40.791079000000003,-106.945049999999990,93,93,1606338,0.000002250024568,-106.945049999999990,40.791079000000003,-106.945051690000000,40.791077514999998,-138.700034300999990,1606338,0.002948959316700,1353736, ,-9999
94,YAMSODCO,40.489221999999998,-106.841528000000000,94,94,1605413,0.000005490196941,-106.841528000000000,40.489221999999998,-106.841531610999990,40.489217863999997,-131.119309506000010,1605413,0.029924696201000,1357198,       09240020,-9999
95,FARMERCO,37.139716999999997,-107.753405000000000,95,95,964956,0.000190320063290,-107.753405000000000,37.139716999999997,-107.753388554000000,37.139906608099999,85.042620086400007,964956,0.159452495031000,17015255, ,-9999
96,HFC930CO,40.394334999999998,-105.216528000000000,96,96,1599562,0.016064597604100,-105.216528000000000,40.394334999999998,-105.212822214000000,40.378703670999997,-76.662873563900007,1599562,0.031313276448800,12956, ,-9999
97,HILDITCO,40.386071999999999,-105.014644000000000,97,97,1598254,0.000102066851602,-105.014644000000000,40.386071999999999,-105.014541933000000,40.386071829899997,-0.095492866879200,1598254,0.015892039436200,12892, ,-9999
98,LONBLOCO,37.058444999999999,-108.175139000000000,98,98,964262,0.000083688401905,-108.175139000000000,37.058444999999999,-108.175134485000000,37.058361433499996,-86.907669149200004,964262,0.037926150623300,16998828, ,-9999
99,UNISRNCO,40.334114999999997,-104.783653000000000,99,99,1596978,0.001132565136520,-104.783653000000000,40.334114999999997,-104.784751721000010,40.334389800200000,165.957873578000000,1596978,0.037273032380200,226581, ,-9999
100,SDRDITCO,40.999499999999998,-103.310799000000000,100,100,1717787,0.020726275394100,-103.310799000000000,40.999499999999998,-103.324391883000000,41.015146469999998,130.982504390000000,1717787,0.039061051999800,17443980, ,-9999
101,HANDITCO,40.420582000000003,-105.221279000000000,101,101,1599401,0.000932222346029,-105.221279000000000,40.420582000000003,-105.221516098000000,40.421483567000003,104.734254609999990,1599401,0.011400381479600,12676, ,-9999
102,WELRETCO,40.323611999999997,-103.544998000000010,102,102,1596748,0.001690879521810,-103.544998000000010,40.323611999999997,-103.545786553000000,40.322116253300003,-117.798048112999990,1596748,0.082917810750500,215049, ,-9999
103,PREWINCO,40.400742000000001,-103.407387000000000,103,103,1595271,0.000480778126776,-103.407387000000000,40.400742000000001,-103.407397835000000,40.400261344000000,-91.291352339599996,1595271,0.063260871086300,3560396, ,-9999
104,CLAWASCO,40.423088000000000,-104.677366000000010,104,104,1597402,0.000131666411120,-104.677366000000010,40.423088000000000,-104.677390277000000,40.422958590999997,-100.624982664000000,1597402,0.066322150670200,2903261, ,-9999
105,GREWASCO,40.423088000000000,-104.677366000000010,105,105,1597402,0.000131666411120,-104.677366000000010,40.423088000000000,-104.677390277000000,40.422958590999997,-100.624982664000000,1597402,0.066322150670200,2903261, ,-9999
106,SVCLOPCO,40.153340999999998,-105.075695000000000,106,106,1598121,0.000006664611033,-105.075695000000000,40.153340999999998,-105.075697250000000,40.153334726499999,-109.727374504000000,1598121,0.045214785836400,2888860, ,-9999
107,SVCPLACO,40.258037999999999,-104.879700000000000,107,107,1598104,0.000370936548257,-104.879700000000000,40.258037999999999,-104.879911682000000,40.258342605599999,124.796941016000010,1598104,0.022493850838500,2890908, ,-9999
108,PLACHACO,39.562483999999998,-105.059710999999990,108,108,1349332,0.000361062217779,-105.059710999999990,39.562483999999998,-105.059407879000010,39.562287827399999,-32.909992021999997,1349332,0.020349729274000,188319, ,-9999
109,BCRSHECO,39.652209999999997,-105.033035000000000,109,109,1348887,0.000078979601636,-105.033035000000000,39.652209999999997,-105.033006460000000,39.652283642599997,68.816161957600002,1348887,0.106054537073000,188631, ,-9999
110,PLAANTCO,38.993326000000003,-105.890017000000000,110,110,1347073,0.000603222789941,-105.890017000000000,38.993326000000003,-105.889941879000010,38.992727473000002,-82.846225826300000,1347073,0.022469887510000,5241890, ,-9999
111,IPVDT2CO,40.772320000000001,-103.007180000000010,111,111,1594969,0.000409410938725,-103.007180000000010,40.772320000000001,-103.007365869000000,40.772684787700001,117.000043314000000,1594969,0.009908674538380,3555166, ,-9999
112,LEWDITCO,40.722298000000002,-103.125206000000010,112,112,1595074,0.000467579547325,-103.125206000000010,40.722298000000002,-103.124751884000010,40.722186602999997,-13.782794055600000,1595074,0.007549897887540,3555422, ,-9999
113,PLAATWCO,40.540199000000001,-103.266502000000000,113,113,1595079,0.000245803054621,-103.266502000000000,40.540199000000001,-103.266691784000000,40.540355208199998,140.542806337999990,1595079,0.014481845524700,3555660, ,-9999
114,CHERESCO,39.207208999999999,-105.272217000000000,114,114,1348403,0.000610170829351,-105.272217000000000,39.207208999999999,-105.272291749999990,39.207814574799997,97.036804161199996,1348403,0.010646750555200,190747, ,-9999
115,CHERESCO,39.207208999999999,-105.272217000000000,115,115,1348403,0.000610170829351,-105.272217000000000,39.207208999999999,-105.272291749999990,39.207814574799997,97.036804161199996,1348403,0.010646750555200,190747, ,-9999
116,MCRAUGCO,38.737856999999998,-104.706030000000000,116,116,1235962,0.001319890354070,-104.706030000000000,38.737856999999998,-104.707091615000000,38.738641272999999,143.544692735000010,1235962,0.003643283673110,1531385, ,-9999
117,RFHCANCO,38.184443999999999,-104.178025000000010,117,117,1233688,0.001230350812440,-104.178025000000010,38.184443999999999,-104.178686068000000,38.185481666699999,122.500056660000000,1233688,0.039048454115200,974472, ,-9999
118,GRECRKCO,37.921917000000001,-104.570610000000000,118,118,1235138,0.005516122092590,-104.570610000000000,37.921917000000001,-104.569357280999990,37.916545008000000,-76.873521651399997,1235138,0.069666489740200,1425316, ,-9999
119,SHRDITCO,37.921917000000001,-104.570610000000000,119,119,1235138,0.005516122092590,-104.570610000000000,37.921917000000001,-104.569357280999990,37.916545008000000,-76.873521651399997,1235138,0.069666489740200,1425316, ,-9999
120,KKBCANCO,38.124175000000001,-103.018265000000000,120,120,1232981,0.052715652873800,-103.018265000000000,38.124175000000001,-103.020395284000000,38.071502408000001,-92.316001425200000,1232981,0.089376254014300,1594279, ,-9999
121,FLSCANCO,38.113888000000003,-103.778288000000000,121,121,1233633,0.000072978629371,-103.778288000000000,38.113888000000003,-103.778290104000010,38.113815051700001,-91.651833670599999,1233633,0.152618206218000,941020085, ,-9999
122,HOLCANCO,38.115276999999999,-103.788006999999990,122,122,1233821,0.000384995107052,-103.788006999999990,38.115276999999999,-103.788018177000000,38.115661832800001,91.663632190200005,1233821,0.070663929435200,976120, ,-9999
123,MERRESCO,38.148059000000003,-103.747178000000010,123,123,1233821,0.000232586184375,-103.747178000000010,38.148059000000003,-103.747363330000000,38.148199532200003,142.827585359000010,1233821,0.070663929435200,976120, ,-9999
