,FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
112,189,HOMTUNCO,39.280555,-106.440555,189,189,1344991,0.000179085443065,-106.440555,39.280555,-106.440579953,39.2803776614,-98.0092579607,1344991,0.0133254291191,916793, ,-9999
113,190,LAKATLCO,39.063048,-106.407804,190,190,1344890,7.0618416785e-05,-106.407804,39.063048,-106.40775727,39.0631009463,48.568855891,1344890,0.051730456377,916859, ,-9999
114,191,LAKBTLCO,39.076103,-106.310306,191,191,1346050,0.00248037576417,-106.310306,39.076103,-106.308779836,39.0780582716,52.0266029974,1346050,0.0388008982796,916851, ,-9999
115,192,LFCBSLCO,39.2536,-106.371137,192,192,1345035,0.00125157471225,-106.371137,39.2536,-106.371446783,39.254812631,104.330466755,1345035,0.00418149984375,916979, ,-9999
116,194,OXFDITCO,38.175554,-104.142184,194,194,1233823,0.00156836675836,-104.142184,38.175554,-104.142412215,38.177105674,98.3668853815,1233823,0.0658149024965,974922, ,-9999
117,195,CUCBCRCO,37.750841,-104.611096,195,195,1235361,0.0110567210032,-104.611096,37.750841,-104.601700224,37.7450125808,-31.8122930193,1235361,0.0165308138061,1426174, ,1425110
118,196,GOMDITCO,37.617042,-104.79094,196,196,970522,0.00029177471235,-104.79094,37.617042,-104.790980639,37.6173309308,98.0062197815,970522,0.0383608645222,1425770, ,-9999
119,197,LVRET2CO,37.66117,-104.695011,197,197,970516,0.000381696720213,-104.695011,37.66117,-104.695270838,37.661449601,132.901813766,970516,0.0497191563922,1425710, ,-9999
120,198,LVMPCRCO,37.466544,-105.024561,198,198,969705,0.000244230147644,-105.024561,37.466544,-105.024739953,37.466377795,-137.115218415,969705,0.0474269406072,1426430, ,-9999
121,199,ARKCATCO,38.125839,-103.911903,199,199,1233413,0.000339624437638,-103.911903,38.125839,-103.911658961,38.1256028018,-44.0645792116,1233413,0.0544096329434,976164, ,-9999
122,200,JOHDITCO,37.235279,-104.438614,200,200,970768,0.00707090463172,-104.438614,37.235279,-104.436907744,37.2284170482,-76.0363293165,970768,0.0369447136554,937082, ,-9999
123,201,MODCANCO,37.217499,-104.463058,201,201,970766,0.0016137702364,-104.463058,37.217499,-104.462794582,37.215906874,-80.6054822855,970766,0.0111900767534,937092, ,-9999
124,202,RACRSTCO,37.13058,-104.521372,202,202,970896,0.00299280283968,-104.521372,37.13058,-104.523061682,37.128109809,-124.373255463,970896,0.0555884513529,937430, ,-9999
125,206,EXLCANCO,37.571109,-106.029472,206,206,968524,0.00168541947087,-106.029472,37.571109,-106.029917112,37.5694834189,-105.313230752,968524,0.0546679898174,17894965, ,-9999
126,207,RIOALACO,37.481392,-105.88002,207,207,968528,0.000276267237413,-105.88002,37.481392,-105.879847815,37.481608046,51.4457236716,968528,0.0738912274418,17900327, ,-9999
127,208,GOOHUMCO,37.676388,-106.859333,208,208,966529,9.2425754489e-05,-106.859333,37.676388,-106.859331409,37.6762955879,-89.0137808205,966529,0.00390552913325,17906889, ,-9999
128,209,RIOMARCO,37.793166,-106.981916,209,209,1241446,0.000101152955698,-106.981916,37.793166,-106.98182641,37.7932129635,27.6637794314,1241446,0.0329652523077,17906651, ,-9999
129,210,RIOBOXCO,37.774584,-107.141277,210,210,1241483,0.000286705395661,-107.141277,37.774584,-107.141148193,37.7743278578,-63.3034732124,1241483,0.0973523115203,17906259, ,-9999
130,211,TREDITCO,37.481119,-106.797264,211,211,966613,0.000328970397696,-106.797264,37.481119,-106.797191866,37.4814399645,77.3337157035,966613,0.0486508737644,17908895, ,-9999
